UniProt_id	UniProt_entry
Q92793	CBP_HUMAN
P19525	E2AK2_HUMAN
Q9NTW7	ZF64B_HUMAN
P07949	RET_HUMAN
Q2M389	WASC4_HUMAN
P12643	BMP2_HUMAN
P12644	BMP4_HUMAN
Q9P2M1	LR2BP_HUMAN
P47901	V1BR_HUMAN
P53350	PLK1_HUMAN
O43320	FGF16_HUMAN
Q7Z4P5	GDF7_HUMAN
P15172	MYOD1_HUMAN
P13349	MYF5_HUMAN
Q9Y3D3	RT16_HUMAN
Q9BTW9	TBCD_HUMAN
O95409	ZIC2_HUMAN
Q8N144	CXD3_HUMAN
Q92913	FGF13_HUMAN
P08620	FGF4_HUMAN
Q9NZ56	FMN2_HUMAN
P26367	PAX6_HUMAN
Q14012	KCC1A_HUMAN
Q06710	PAX8_HUMAN
P52803	EFNA5_HUMAN
O95096	NKX22_HUMAN
Q9HB63	NET4_HUMAN
Q02978	M2OM_HUMAN
P12272	PTHR_HUMAN
P07438	MT1B_HUMAN
Q9UKY1	ZHX1_HUMAN
O96014	WNT11_HUMAN
P06213	INSR_HUMAN
P08833	IBP1_HUMAN
Q15796	SMAD2_HUMAN
Q96S42	NODAL_HUMAN
A6NJ46	NKX63_HUMAN
P01589	IL2RA_HUMAN
O15178	TBXT_HUMAN
P35575	G6PC1_HUMAN
Q00534	CDK6_HUMAN
P24941	CDK2_HUMAN
O96020	CCNE2_HUMAN
P06400	RB_HUMAN
Q8TAQ2	SMRC2_HUMAN
Q92879	CELF1_HUMAN
P01308	INS_HUMAN
Q9H461	FZD8_HUMAN
P78337	PITX1_HUMAN
P16220	CREB1_HUMAN
Q96QV6	H2A1A_HUMAN
P21802	FGFR2_HUMAN
P04004	VTNC_HUMAN
P07942	LAMB1_HUMAN
P07101	TY3H_HUMAN
P0DPK3	NT2NB_HUMAN
Q9P121	NTRI_HUMAN
Q6UW88	EPGN_HUMAN
P39877	PA2G5_HUMAN
P49767	VEGFC_HUMAN
Q9Y264	ANGP4_HUMAN
Q03431	PTH1R_HUMAN
Q00444	HXC5_HUMAN
Q96RJ6	FER3L_HUMAN
Q05084	ICA69_HUMAN
Q07687	DLX2_HUMAN
Q12946	FOXF1_HUMAN
P09038	FGF2_HUMAN
O15520	FGF10_HUMAN
P17252	KPCA_HUMAN
P78527	PRKDC_HUMAN
Q06520	ST2A1_HUMAN
Q53GG5	PDLI3_HUMAN
P49768	PSN1_HUMAN
Q14469	HES1_HUMAN
O43903	GAS2_HUMAN
Q5T4F7	SFRP5_HUMAN
Q96NR3	PTHD1_HUMAN
Q99801	NKX31_HUMAN
P12645	BMP3_HUMAN
P51668	UB2D1_HUMAN
Q04726	TLE3_HUMAN
Q92643	GPI8_HUMAN
P61812	TGFB2_HUMAN
P10600	TGFB3_HUMAN
Q5T280	CI114_HUMAN
Q08117	TLE5_HUMAN
Q13285	STF1_HUMAN
P09923	PPBI_HUMAN
Q03692	COAA1_HUMAN
P05067	A4_HUMAN
O15118	NPC1_HUMAN
Q9Y463	DYR1B_HUMAN
O95076	ALX3_HUMAN
Q9H161	ALX4_HUMAN
P15863	PAX1_HUMAN
P23760	PAX3_HUMAN
Q15672	TWST1_HUMAN
P01730	CD4_HUMAN
P04234	CD3D_HUMAN
Q14697	GANAB_HUMAN
Q13207	TBX2_HUMAN
Q08050	FOXM1_HUMAN
Q13617	CUL2_HUMAN
P21583	SCF_HUMAN
Q15843	NEDD8_HUMAN
Q05923	DUS2_HUMAN
P41586	PACR_HUMAN
P40145	ADCY8_HUMAN
P17948	VGFR1_HUMAN
Q96D09	GASP2_HUMAN
P01568	IFN21_HUMAN
Q07108	CD69_HUMAN
Q8N4L2	PP4P2_HUMAN
Q86Y34	AGRG3_HUMAN
O43435	TBX1_HUMAN
O00291	HIP1_HUMAN
P81277	PRRP_HUMAN
P27037	AVR2A_HUMAN
P01135	TGFA_HUMAN
Q9NR99	MXRA5_HUMAN
P43354	NR4A2_HUMAN
P01106	MYC_HUMAN
P63267	ACTH_HUMAN
Q12965	MYO1E_HUMAN
P31371	FGF9_HUMAN
O43543	XRCC2_HUMAN
O60806	TBX19_HUMAN
P26232	CTNA2_HUMAN
P52630	STAT2_HUMAN
Q04771	ACVR1_HUMAN
P01270	PTHY_HUMAN
Q13873	BMPR2_HUMAN
O75197	LRP5_HUMAN
O00238	BMR1B_HUMAN
Q8WVP7	LMBR1_HUMAN
Q8IYX4	DND1_HUMAN
Q9BW19	KIFC1_HUMAN
P0C7P3	SLN14_HUMAN
Q8TD08	MK15_HUMAN
P04049	RAF1_HUMAN
Q99759	M3K3_HUMAN
P01133	EGF_HUMAN
Q9NPA3	M1IP1_HUMAN
P61586	RHOA_HUMAN
Q07960	RHG01_HUMAN
P62253	UB2G1_HUMAN
P15884	ITF2_HUMAN
P25054	APC_HUMAN
Q86WU2	LDHD_HUMAN
Q13516	OLIG2_HUMAN
O95750	FGF19_HUMAN
P22455	FGFR4_HUMAN
P49137	MAPK2_HUMAN
Q16644	MAPK3_HUMAN
Q8IXJ6	SIR2_HUMAN
Q96CS3	FAF2_HUMAN
Q9UBM7	DHCR7_HUMAN
P35226	BMI1_HUMAN
P36896	ACV1B_HUMAN
P38570	ITAE_HUMAN
Q13797	ITA9_HUMAN
Q05996	ZP2_HUMAN
Q9NWB1	RFOX1_HUMAN
Q9Y2D0	CAH5B_HUMAN
Q99593	TBX5_HUMAN
Q16394	EXT1_HUMAN
P17483	HXB4_HUMAN
P31751	AKT2_HUMAN
P48681	NEST_HUMAN
P05019	IGF1_HUMAN
P00797	RENI_HUMAN
Q9BSF0	SMAKA_HUMAN
P55786	PSA_HUMAN
Q13253	NOGG_HUMAN
P29274	AA2AR_HUMAN
P78423	X3CL1_HUMAN
P27361	MK03_HUMAN
P78345	RPP38_HUMAN
Q02750	MP2K1_HUMAN
P46734	MP2K3_HUMAN
P28906	CD34_HUMAN
Q07812	BAX_HUMAN
P13232	IL7_HUMAN
Q15435	PP1R7_HUMAN
P61073	CXCR4_HUMAN
P42229	STA5A_HUMAN
P78415	IRX3_HUMAN
P04198	MYCN_HUMAN
Q9UPX6	MNAR1_HUMAN
Q9UM47	NOTC3_HUMAN
P03891	NU2M_HUMAN
P24387	CRHBP_HUMAN
P01189	COLI_HUMAN
Q02930	CREB5_HUMAN
P20719	HXA5_HUMAN
P0DTE8	AMY1C_HUMAN
P36575	ARRC_HUMAN
